gid;fecha;codigo;code;elevacion;orientacion;dist2road;x;y
310;2004;100;324;286.36663;172.05839;522.6198099;726472.0485;4410309.49
311;2004;100;323;808.07508;28.6773;217.3636321;744906.1347;4466194.001
312;2004;100;312;225.64542;285.98075;85.76816442;735466.3095;4421454.628
313;2004;100;312;1363.34106;109.87614;161.9362258;727985.0813;4453963.618
314;2004;290;133;79.81535;238.52188;94.63312514;743334.7823;4428685.868
315;2004;100;321;1223.42225;192.42097;375.6596082;732682.888;4493366.828
316;2004;100;323;1169.26392;62.52719;13.01533321;726531.228;4465369.046
317;2004;290;223;400.7266;37.57947;387.2773436;764107.1819;4481925.798
318;2004;100;321;1203.71664;159.8587;208.6834982;733241.3523;4493615.538
319;2004;100;324;750.02641;222.00723;846.6626044;762398.5032;4501411.808
320;2004;100;323;395.23423;62.4917;692.3314457;729032.3175;4430830.117
321;2004;100;323;431.85986;-99999;134.7372596;712270.4991;4420664.763
322;2004;100;312;483.07778;28.61678;21.63993368;709909.4031;4417846.801
323;2004;100;323;503.86853;142.8332;172.7847842;744033.3472;4456748.732
324;2004;100;324;651.84452;132.56856;953.8780757;726290.6186;4423635.349
325;2004;100;323;514.36988;-99999;1790.394088;757593.3622;4478269.145
326;2004;100;324;679.52947;152.92778;319.5525875;741018.088;4514667.715
327;2004;100;324;423.30959;207.86372;789.6058608;728308.6851;4411691.025
328;2004;100;243;858.52063;305.68029;448.2405893;712807.9534;4447634.854
329;2004;100;242;464.37586;56.86127;181.3611007;716681.9099;4404988.011
330;2004;100;243;305.9681;247.36096;80.68914658;735631.796;4419067.003
331;2004;100;323;396.17888;236.98748;410.841261;778679.1459;4464337.371
332;2004;100;313;521.76977;18.34541;630.7140204;733542.4929;4417596.016
333;2004;100;323;521.05224;95.45247;745.4669439;723133.1555;4413493.792
334;2004;100;324;1191.39773;233.64816;764.3789613;723612.9852;4455978.046
335;2004;100;313;802.92366;233.92406;49.73495602;738416.9569;4493232.286
336;2004;100;312;1160.12537;46.74151;162.580858;729832.8241;4462034.463
337;2004;400;222;77.60249;116.95818;220.4729305;767645.342;4450637.092
338;2004;400;222;36.59428;138.14364;35.74122274;766443.7108;4446395.849
339;2004;100;312;1454.29031;128.06119;79.61185485;726457.9644;4457375.926
340;2004;100;312;864.11171;254.72633;255.6537538;744177.7983;4513739.853
341;2004;100;311;761.08846;16.71624;413.8394252;758091.4935;4492063.06
342;2004;100;324;892.88601;146.26918;839.8140496;714651.6623;4447156.763
343;2004;100;324;1089.8881;190.64473;351.0398695;748347.4113;4509264.188
344;2004;100;323;146.32549;94.94649;300.248232;766884.0719;4450419.407
345;2004;100;323;690.69857;103.40313;1584.518619;761648.0384;4484729.493
346;2004;100;312;1051.27668;193.54766;568.7719852;734513.1837;4487036.54
347;2004;100;324;1322.48555;50.01747;717.8788308;728774.3231;4481310.922
